番号,81,
名前,音街 ウナ,
呼び名,ウナ,
基礎,0,1600
基礎,1,1300
能力,14,3
経験,歌唱経験,40
素質,処女,
素質,目立ちたがり,
素質,貞操観念,
素質,恥薄い,
素質,中毒しやすい,
素質,小柄体型,
素質,Ｃ鈍感,
素質,Ａ敏感,
素質,絶壁,
素質,回復早い,
素質,人気,
素質,AITalk,
相性,10,200 ;きりたん

;服装 0:なし
;特殊1 1:手袋 2:袖 3:羽衣 4:ナースキャップ 5:警官帽 6:ウサ耳バンド 7:パーカー
フラグ,40,0
;特殊2 11:靴下 12:ハイソックス 13:ニーソックス 14:ガーターストッキング 15:パンティストッキング 16:足袋
フラグ,41,12
;下半身下着 21:ドロワーズ 22:パンティ 23:褌 24:トランクス 25:ブリーフ
フラグ,42,22
;上半身下着 31:ブラジャー 32:スポーツブラ 33:さらし
フラグ,43,32
;下半身上着 41:スカート 42:キュロット 43:もんぺ 44:ズボン 45:ブルマ 46:ビキニパンツ
フラグ,44,41
;上半身上着 51:上着 52:セーラー服 53:体操服 54:ビキニトップ 55:ナース服 56:警官制服 57:白衣 58:メイド服
フラグ,45,52
;全身上着 61:和服 62:導師服 63:ワンピース 64:スクール水着 65:バニースーツ 66:ボンテージスーツ 67:着ぐるみ
フラグ,46,0

